Nav_Date,Nifty_100,Nifty_Midcap_150,Nifty_Smallcap_250,Nifty_500,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
2020-04-01,8404.150,4411.650,3170.300,6761.950,159.720,25.080,149.313,332.449,159.455,30.570,177.055,92.230,191.290,32.070,43.501,38.257,96.460,28.949,74.499,20.056,23.880,38.897,25.822,14.993,17.620,51.889,291.360,9.240,163.795,78.520,7.461,224.640,92.489,41.155,520.370,10.010,31.631,441.639,61.194,26.080,112.979
2020-04-03,8240.200,4352.350,3135.400,6638.450,156.880,24.520,145.746,328.250,155.994,30.020,172.274,90.123,187.640,31.750,42.547,37.481,94.810,28.330,73.638,19.750,23.340,38.349,25.417,14.860,17.310,50.802,285.420,9.080,160.084,77.318,7.315,221.100,90.177,40.825,510.900,9.800,31.015,436.127,59.692,25.477,110.601
2020-04-07,8934.600,4561.850,3244.500,7149.000,168.990,26.210,159.156,350.654,169.678,32.540,185.959,97.300,195.690,33.160,44.738,38.884,98.960,29.510,77.332,20.390,23.970,39.707,26.173,15.332,17.680,52.578,304.870,9.540,171.405,82.321,7.848,236.620,95.799,43.181,552.300,10.460,33.107,464.773,64.792,27.432,117.495
2020-04-08,8921.300,4637.100,3299.600,7161.450,169.640,26.190,158.849,349.497,169.073,32.550,185.405,97.347,199.840,33.890,45.675,39.526,100.860,29.981,78.223,20.811,24.560,40.524,26.443,15.588,17.850,53.191,305.530,9.650,173.178,82.643,7.909,239.730,96.219,43.826,554.920,10.480,33.210,463.483,65.094,27.431,118.483
2020-04-09,9282.850,4786.250,3412.700,7441.650,176.710,27.110,165.733,362.629,175.705,33.930,192.356,101.721,204.830,34.750,47.044,40.847,103.880,30.879,80.856,21.561,25.410,41.315,27.226,16.000,18.320,54.392,318.120,9.950,179.754,85.256,8.197,248.550,98.866,45.621,575.750,10.860,34.535,480.710,67.861,28.389,122.918
2020-04-13,9177.700,4733.050,3398.400,7360.350,174.780,26.650,163.726,360.458,173.186,33.670,190.446,100.744,201.970,34.160,46.586,40.458,103.080,30.606,79.752,21.460,25.280,41.115,27.063,16.009,18.100,53.821,313.840,9.790,177.956,84.637,8.056,246.650,98.720,45.446,571.670,10.640,34.020,481.524,66.536,28.188,120.628
2020-04-15,9128.250,4795.600,3434.650,7344.350,174.490,26.430,162.483,359.273,172.779,33.500,189.443,100.244,205.220,34.210,47.112,41.163,104.550,31.228,80.556,21.675,25.500,41.508,27.560,16.176,18.320,54.685,314.510,9.920,178.400,85.517,8.060,246.930,99.451,45.810,570.680,10.550,33.891,481.113,66.538,28.061,120.970
2020-04-16,9197.100,4869.900,3504.250,7412.300,176.360,26.500,164.224,365.291,174.530,33.800,191.577,101.271,207.920,34.490,47.688,41.715,106.050,31.762,81.802,22.135,25.810,41.771,28.038,16.354,18.560,55.480,319.690,9.920,180.055,87.087,8.149,250.550,101.031,46.470,577.630,10.570,34.234,490.724,67.202,28.414,121.713
2020-04-17,9453.500,4978.150,3609.650,7614.400,181.220,27.000,170.111,376.212,178.434,34.880,197.222,104.098,211.560,35.000,48.561,42.777,107.860,32.257,83.193,22.829,26.670,42.892,28.797,16.785,19.260,57.066,329.120,10.160,185.063,89.167,8.335,257.050,103.277,47.723,594.500,10.770,35.169,506.124,68.866,29.152,124.039
2020-04-20,9442.600,5001.850,3633.450,7614.600,180.850,27.010,169.759,374.959,178.508,34.740,197.104,103.867,211.910,34.860,48.538,42.811,108.290,32.424,83.839,22.958,26.860,43.228,28.970,16.863,19.520,57.562,328.340,10.170,184.717,89.385,8.320,257.050,103.313,47.668,593.590,10.760,35.034,503.239,68.866,29.109,124.630
